NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Pike County, Illinois",898,1162,3009,352,51,17,149,154.0
"Pope County, Illinois",409,407,1084,74,93,17,151,4.0
"St. Clair County, Illinois",13449,11084,37568,4062,4941,17,163,0.0
"Shelby County, Illinois",1783,1802,4516,249,124,17,173,139.0
"Champaign County, Illinois",12361,7611,23420,2090,1471,17,19,0.0
"Calhoun County, Illinois",233,365,1051,148,43,17,13,338.0
"Ford County, Illinois",768,1078,2159,184,128,17,53,0.0
"Kane County, Illinois",22349,27872,64721,5460,1513,17,89,0.0
"Kendall County, Illinois",4266,4748,11989,921,159,17,93,885.0
"Brown County, Illinois",191,307,812,101,11,17,9,205.0
"Marion County, Illinois",2214,2558,6755,885,379,17,121,0.0
"Mason County, Illinois",1154,1253,2842,251,168,17,125,0.0
"Iroquois County, Illinois",1081,2827,5477,660,153,17,75,0.0
"Clay County, Illinois",446,1316,2525,397,113,17,25,6.0
"Gallatin County, Illinois",320,527,1168,230,54,17,59,3.0
"Monroe County, Illinois",2069,2287,5465,329,333,17,133,2.0
"Union County, Illinois",1290,966,3213,382,195,17,181,0.0
"Winnebago County, Illinois",14732,19468,45302,4616,1341,17,201,22.0
"Pulaski County, Illinois",334,259,1183,220,91,17,153,229.0
"Schuyler County, Illinois",480,565,1397,139,103,17,169,0.0
"Edgar County, Illinois",1070,1435,3529,381,157,17,45,43.0
"Boone County, Illinois",2690,2974,7691,998,254,17,7,4.0
"Bureau County, Illinois",1862,2954,6694,572,196,17,11,89.0
"Coles County, Illinois",2294,3099,7715,655,338,17,29,39.0
"Crawford County, Illinois",1160,1519,3314,473,110,17,33,97.0
"Putnam County, Illinois",543,574,1241,49,37,17,155,1.0
"De Witt County, Illinois",1134,1061,2716,225,80,17,39,0.0
"Lee County, Illinois",2241,2175,5819,461,60,17,103,3.0
"Macoupin County, Illinois",2769,3483,8287,671,219,17,117,8.0
"Richland County, Illinois",715,1404,2981,325,187,17,159,17.0
"Washington County, Illinois",961,1095,2602,198,91,17,189,0.0
"Washington County, Oregon",23147,29227,71529,8043,3155,41,67,3.0
"Clatsop County, Oregon",2107,3180,8109,971,496,41,7,451.0
"Cameron County, Pennsylvania",297,579,1192,140,48,42,23,37.0
"Bucks County, Pennsylvania",40009,46488,106385,8951,3487,42,17,0.0
"Lehigh County, Pennsylvania",16212,24030,55764,7306,1504,42,77,451.0
"Clarion County, Pennsylvania",2199,3193,7099,985,354,42,31,146.0
"Greene County, Pennsylvania",2887,2094,6406,945,281,42,59,12.0
"Luzerne County, Pennsylvania",17196,25960,57811,7392,2262,42,79,3.0
"Columbia County, Pennsylvania",3387,4953,11561,1402,393,42,37,195.0
"Jefferson County, Pennsylvania",1949,3264,8481,1126,350,42,65,41.0
"Perry County, Pennsylvania",2990,3380,7897,864,400,42,99,16.0
"Sullivan County, Pennsylvania",382,493,1532,162,42,42,113,78.0
"Kent County, Rhode Island",8905,11305,28531,3836,1714,44,3,3.0
"Washington County, Rhode Island",8337,8968,23577,2422,1517,44,9,61.0
"Newberry County, South Carolina",1934,2356,7020,1005,711,45,71,24.0
"Clarendon County, South Carolina",2451,1929,7404,1527,936,45,27,18.0
"Sumter County, South Carolina",4658,4861,15995,3476,3832,45,85,70.0
"Barnwell County, South Carolina",1221,1128,3581,793,251,45,11,118.0
"Darlington County, South Carolina",2534,3489,11826,1798,993,45,31,4.0
"York County, South Carolina",13595,12488,35814,3222,3253,45,91,30.0
"Cherokee County, South Carolina",2670,3274,9029,1281,668,45,21,42.0
"Jasper County, South Carolina",1609,1622,4927,827,478,45,53,28.0
"Lee County, South Carolina",830,796,2944,750,184,45,61,39.0
"Abbeville County, South Carolina",1099,1575,5042,846,378,45,1,4.0
"Lyman County, South Dakota",91,242,593,106,28,46,85,0.0
"Deuel County, South Dakota",129,309,842,73,21,46,39,1.0
"Glenn County, California",1292,1228,4242,952,238,6,21,5.0
"Butte County, California",13062,14053,38825,6799,1948,6,7,80.0
"Kings County, California",3798,4038,13977,3505,2126,6,31,138.0
"Plumas County, California",1834,1955,4927,355,330,6,63,288.0
"San Luis Obispo County, California",19828,18635,52387,4433,2501,6,79,10.0
"Fresno County, California",35797,28321,109737,29097,4550,6,19,204.0
"Kern County, California",25839,22703,88355,23617,3360,6,29,1408.0
"Orange County, California",124121,97543,423436,75672,12606,6,59,948.0
"Ventura County, California",43840,35742,119876,18264,6042,6,111,4993.0
"Calaveras County, California",4774,3850,11747,1015,607,6,9,865.0
"Sutter County, California",3829,3587,13535,2930,1380,6,101,9.0
"San Mateo County, California",48932,34827,110561,17559,2264,6,81,156.0
"Tuolumne County, California",4674,5042,13287,1317,545,6,109,809.0
"San Joaquin County, California",28320,25906,85216,21204,3435,6,77,40.0
"Amador County, California",3871,3245,9703,1090,460,6,5,1101.0
"Phillips County, Colorado",132,306,640,93,14,8,95,0.0
"Archuleta County, Colorado",855,1119,3289,227,287,8,7,0.0
"Denver County, Colorado",22586,22280,75531,13877,3568,8,31,0.0
"Kiowa County, Colorado",69,145,339,57,11,8,61,1116.0
"Huerfano County, Colorado",212,627,1972,530,103,8,55,0.0
"Baca County, Colorado",105,414,870,155,16,8,9,0.0
"Gilpin County, Colorado",360,361,1057,17,113,8,47,0.0
"Kit Carson County, Colorado",260,451,1282,116,60,8,63,0.0
"Gunnison County, Colorado",659,460,2022,260,85,8,51,9.0
"Mineral County, Colorado",93,69,221,22,8,8,79,0.0
"Ouray County, Colorado",253,352,1273,59,30,8,91,0.0
"Sedgwick County, Colorado",90,196,489,61,13,8,115,11.0
"Weld County, Colorado",9738,11688,34100,3817,1707,8,123,11.0
"Custer County, Colorado",511,665,1614,109,112,8,27,374.0
"Costilla County, Colorado",231,276,998,296,91,8,23,0.0
"Douglas County, Colorado",12577,13062,36516,2273,2568,8,35,0.0
"Lake County, Colorado",166,287,744,133,0,8,65,153.0
"La Plata County, Colorado",2484,3176,8779,770,505,8,67,31.0
"Pitkin County, Colorado",634,881,2950,121,53,8,97,40.0
"Rio Grande County, Colorado",487,563,2054,278,47,8,105,23.0
"Bent County, Colorado",306,325,872,144,88,8,11,35.0
"Crowley County, Colorado",159,227,744,109,76,8,25,15.0
"San Juan County, Colorado",9,27,130,6,20,8,111,0.0
"Larimer County, Colorado",16276,17103,49390,4236,3330,8,69,0.0
"Logan County, Colorado",764,1495,3554,409,243,8,75,137.0
"San Miguel County, Colorado",155,477,1021,86,18,8,113,48.0
"Teller County, Colorado",1192,1197,4915,380,838,8,119,0.0
"Elbert County, Colorado",1378,1460,3706,213,252,8,39,48.0
"Las Animas County, Colorado",1032,1153,3197,500,242,8,71,2.0
"Lincoln County, Colorado",110,376,827,128,27,8,73,10.0
"Summit County, Colorado",1362,1062,3789,52,73,8,117,0.0
"Alamosa County, Colorado",661,763,1999,416,52,8,3,37.0
"Delta County, Colorado",1819,2416,7381,1214,644,8,29,2.0
"Fremont County, Colorado",2116,3250,8954,1275,969,8,43,12.0
"Montrose County, Colorado",2263,3189,9319,1059,656,8,85,24.0
"Morgan County, Colorado",939,1636,4138,619,141,8,87,8.0
"Saguache County, Colorado",191,342,1373,264,11,8,109,13.0
"Prowers County, Colorado",411,801,1976,414,40,8,99,43.0
"Washington County, Colorado",165,332,918,131,47,8,121,13.0
"Grand County, Colorado",558,803,2409,96,50,8,49,0.0
"Otero County, Colorado",847,1416,3399,644,113,8,89,18.0
"Broomfield County, Colorado",3341,2850,8456,749,503,8,14,0.0
"Sussex County, Delaware",27424,19802,58314,5311,3824,10,5,57.0
"District of Columbia, District of Columbia",40498,18746,74476,20186,3273,11,1,215.0
"New Haven County, Connecticut",51884,43016,133440,21205,2868,9,9,550.0
"Hartford County, Connecticut",55082,40332,137917,23390,3544,9,3,677.0
"Shelby County, Tennessee",43275,32812,113967,19807,8481,47,157,584.0
"Henderson County, Tennessee",679,1635,4787,656,348,47,77,1203.0
"Jefferson County, Tennessee",2197,3184,9920,1089,691,47,89,7.0
"Sequatchie County, Tennessee",615,1078,2833,296,182,47,153,141.0
"Carroll County, Tennessee",1049,1865,5132,847,365,47,17,0.0
"Davidson County, Tennessee",27536,23014,76374,10760,4230,47,37,6.0
"Perry County, Tennessee",268,229,1528,337,141,47,135,971.0
"Meigs County, Tennessee",512,817,2565,258,128,47,121,0.0
"Haywood County, Tennessee",523,849,3003,750,292,47,75,7.0
"Montgomery County, Tennessee",4966,4755,17348,2447,5917,47,125,43.0
"Grundy County, Tennessee",348,690,2583,362,180,47,61,112.0
"Cocke County, Tennessee",1650,2093,7010,1236,451,47,29,13.0
