NAME,<15,15-24,25-34,35-64,65-74,>75
"Hormigueros Municipio, Puerto Rico",2116,1957,1593,5975,2186,2116
"Utuado Municipio, Puerto Rico",4544,3715,3415,11026,3451,2525
"Florida Municipio, Puerto Rico",1959,1690,1362,4630,1238,818
"Moca Municipio, Puerto Rico",5958,5129,4617,14360,3702,2395
"Salinas Municipio, Puerto Rico",4845,4060,3376,10568,3051,2209
"Mississippi County, Missouri",2390,1450,2013,5333,1388,1000
"Ozark County, Missouri",1455,879,742,3610,1444,1077
"Bollinger County, Missouri",2168,1339,1301,5021,1406,990
"Sumner County, Tennessee",35854,21906,22682,74454,17411,11130
"Trousdale County, Tennessee",1629,1406,2075,3696,913,512
"Clay County, Tennessee",1270,796,717,3054,1039,778
"Moultrie County, Illinois",3011,1736,1684,5444,1505,1261
"Pike County, Illinois",2961,1763,1812,5911,1679,1546
"Pope County, Illinois",562,309,314,1868,633,517
"St. Clair County, Illinois",51289,32715,34451,103922,22940,17021
"Shelby County, Illinois",3746,2414,2287,8489,2651,2150
"Champaign County, Illinois",32939,55019,30456,65549,15061,10898
"Calhoun County, Illinois",833,507,449,1917,596,528
"Ford County, Illinois",2398,1585,1470,5319,1236,1262
"Kane County, Illinois",112297,73006,63846,212277,42350,27600
"Kendall County, Illinois",30093,16731,15774,50703,7988,4765
"Brown County, Illinois",990,775,1107,2796,515,445
"Marion County, Illinois",7250,4257,4492,14456,4049,3239
"Mason County, Illinois",2292,1466,1403,5455,1672,1333
"Iroquois County, Illinois",4911,3204,2872,10930,3126,2769
"Clay County, Illinois",2441,1508,1499,5178,1477,1184
"Gallatin County, Illinois",860,500,534,1979,695,496
"Monroe County, Illinois",6226,3798,3726,14527,3232,2659
"Union County, Illinois",2983,1753,2000,6762,1907,1563
"Winnebago County, Illinois",55261,35576,35616,109914,27901,20551
"Pulaski County, Illinois",992,624,619,2074,687,514
"Schuyler County, Illinois",1050,708,730,2937,846,682
"Edgar County, Illinois",2872,1880,1895,6983,2095,1682
"Boone County, Illinois",10770,7759,5732,20942,5044,3290
"Bureau County, Illinois",5731,3809,3503,12916,3871,3292
"Coles County, Illinois",7742,10650,6833,17633,4697,3798
"Crawford County, Illinois",3108,2088,2577,7641,1939,1619
"Putnam County, Illinois",895,593,601,2334,765,533
"De Witt County, Illinois",2793,1758,1824,6567,1681,1309
"Lee County, Illinois",5595,3816,4238,14229,3627,2884
"Macoupin County, Illinois",7915,5261,4973,18419,4955,3940
"Richland County, Illinois",3048,1723,1797,6032,1582,1584
"Washington County, Illinois",2490,1466,1621,5685,1482,1314
"Washington County, Oregon",113777,71319,92409,235615,46500,29861
"Clatsop County, Oregon",6145,4482,4594,15494,5355,3032
"Cameron County, Pennsylvania",598,465,402,1911,692,543
"Bucks County, Pennsylvania",103933,75358,69294,264503,64623,49095
"Lehigh County, Pennsylvania",68011,48150,47750,141039,33464,26638
"Clarion County, Pennsylvania",6027,6250,4521,14504,4055,3358
"Greene County, Pennsylvania",5882,4742,4502,14921,4095,2728
"Luzerne County, Pennsylvania",51131,39443,39846,124958,34024,28261
"Columbia County, Pennsylvania",9564,12434,6798,24476,7012,5431
"Jefferson County, Pennsylvania",7677,4942,5051,17163,4946,4067
"Perry County, Pennsylvania",8167,5172,5346,19075,5145,3148
"Sullivan County, Pennsylvania",534,682,584,2639,960,736
"Kent County, Rhode Island",25424,17415,21449,69401,17382,12798
"Washington County, Rhode Island",16809,22767,11763,49599,14859,10263
"Newberry County, South Carolina",6839,5320,4111,14579,4387,2958
"Clarendon County, South Carolina",5411,4286,3809,12716,4658,3077
"Sumter County, South Carolina",21430,15204,14817,38358,9966,6982
"Barnwell County, South Carolina",4224,2851,2269,8216,2319,1467
"Darlington County, South Carolina",12269,8621,7890,25919,7555,4773
"York County, South Carolina",53624,33460,33056,108391,23595,13746
"Cherokee County, South Carolina",10892,7433,7342,21966,5578,3684
"Jasper County, South Carolina",5156,3321,3850,11118,3603,1609
"Lee County, South Carolina",2769,2393,2183,6880,1896,1244
"Abbeville County, South Carolina",4145,3364,2438,9478,3197,2005
"Lyman County, South Dakota",954,534,415,1346,329,270
"Deuel County, South Dakota",859,445,480,1615,503,416
"Glenn County, California",6189,3836,3424,10067,2507,1953
"Butte County, California",37752,40556,28999,77825,23712,16973
"Kings County, California",34721,23054,25371,52482,8748,6315
"Plumas County, California",2589,1592,1774,7655,3221,1829
"San Luis Obispo County, California",41601,51707,32839,101171,32463,22384
"Fresno County, California",236099,144285,150576,335784,68692,49085
"Kern County, California",216602,133240,137412,305675,57162,37550
"Orange County, California",579597,420023,456061,1257258,257618,197487
"Ventura County, California",161946,115171,112915,329603,73778,53850
"Calaveras County, California",6311,4355,4104,18225,7547,4972
"Sutter County, California",20862,12621,13439,34769,7966,6452
"San Mateo County, California",133195,82938,113405,317008,67858,53019
"Tuolumne County, California",7457,5284,6554,20923,8164,5663
"San Joaquin County, California",168119,107029,103464,270910,54930,38151
"Amador County, California",4783,3351,4117,15932,6318,3928
"Phillips County, Colorado",988,502,566,1493,363,378
"Archuleta County, Colorado",1992,1124,1275,5478,2431,953
"Denver County, Colorado",119939,76919,162830,264400,49238,32250
"Kiowa County, Colorado",356,137,154,474,182,186
"Huerfano County, Colorado",930,533,523,2610,1224,859
"Baca County, Colorado",629,324,388,1294,458,468
"Gilpin County, Colorado",673,422,486,3358,822,257
"Kit Carson County, Colorado",1522,727,1056,2777,726,639
"Gunnison County, Colorado",2362,3839,2304,6111,1482,704
"Mineral County, Colorado",83,44,78,398,136,85
"Ouray County, Colorado",629,316,395,2126,931,399
"Sedgwick County, Colorado",494,214,227,850,253,284
"Weld County, Colorado",67568,41237,46287,114036,22677,13540
"Custer County, Colorado",540,424,271,1824,1187,530
"Costilla County, Colorado",520,432,292,1478,629,394
"Douglas County, Colorado",72262,41940,36795,146627,25258,13159
"Lake County, Colorado",1081,1107,1476,3269,596,222
"La Plata County, Colorado",8894,6950,7624,22999,6086,3064
"Pitkin County, Colorado",2377,1869,2855,7633,2170,1022
"Rio Grande County, Colorado",2077,1573,1067,4392,1286,910
"Bent County, Colorado",723,530,1120,2381,618,415
"Crowley County, Colorado",585,1286,969,2144,476,294
"San Juan County, Colorado",67,37,72,267,100,46
"Larimer County, Colorado",56656,61343,50079,124547,32279,19882
"Logan County, Colorado",3776,3449,3072,8245,2036,1802
"San Miguel County, Colorado",1235,765,1305,3656,859,229
"Teller County, Colorado",3497,2296,2315,11253,3790,1373
"Elbert County, Colorado",4366,3025,2250,12092,2791,1193
"Las Animas County, Colorado",2073,1666,1724,5426,2030,1347
"Lincoln County, Colorado",935,533,951,2195,505,466
"Summit County, Colorado",4156,3134,5681,13764,2911,1003
"Alamosa County, Colorado",3355,3133,2290,5199,1300,830
"Delta County, Colorado",4956,3316,2836,11730,4497,3230
"Fremont County, Colorado",6046,4333,6953,19979,5914,4096
"Montrose County, Colorado",7481,4481,4191,15898,5526,4109
"Morgan County, Colorado",6208,3908,3752,10265,2364,2020
"Saguache County, Colorado",1190,573,602,2752,1050,425
"Prowers County, Colorado",2553,1695,1347,4335,1188,904
"Washington County, Colorado",904,574,593,1820,516,461
"Grand County, Colorado",2129,1593,2234,6786,1845,716
"Otero County, Colorado",3623,2522,1907,6559,2030,1641
"Broomfield County, Colorado",12867,8027,10295,27671,5580,3446
"Sussex County, Delaware",35368,21076,23167,84284,37692,22797
"District of Columbia, District of Columbia",108246,90321,161872,248574,48154,35516
"New Haven County, Connecticut",142140,118173,114190,337269,81393,64348
"Hartford County, Connecticut",154086,116253,117499,355834,82599,67290
"Shelby County, Tennessee",196454,127319,137490,352416,75279,47416
"Henderson County, Tennessee",5233,3295,3186,11244,2989,2030
