NAME,white,black,amindia,asia,pacific,other,2m,state,county
"Ford County, Illinois",12610,150,69,87,4,263,87,17,053
"Kane County, Illinois",387883,29416,2590,21612,240,74326,15309,17,089
"Kendall County, Illinois",102605,9339,145,4045,0,6532,3388,17,093
"Brown County, Illinois",5265,1272,24,0,0,44,23,17,009
"Marion County, Illinois",34902,1382,81,243,0,175,960,17,121
"Mason County, Illinois",13214,103,22,24,0,46,212,17,125
"Iroquois County, Illinois",25746,240,20,98,0,1190,518,17,075
"Clay County, Illinois",12782,107,32,42,0,1,323,17,025
"Gallatin County, Illinois",4888,26,26,6,0,14,104,17,059
"Monroe County, Illinois",33251,60,0,444,0,168,245,17,133
"Union County, Illinois",15963,276,25,56,37,239,372,17,181
"Winnebago County, Illinois",224363,36935,831,7530,44,5656,9460,17,201
"Pulaski County, Illinois",3620,1669,6,7,0,10,198,17,153
"Schuyler County, Illinois",6219,625,9,0,0,0,100,17,169
"Edgar County, Illinois",17212,53,12,31,0,35,64,17,045
"Boone County, Illinois",46852,1184,183,632,0,3395,1291,17,007
"Bureau County, Illinois",30937,350,65,291,3,1022,454,17,011
"Coles County, Illinois",47722,2019,111,625,20,104,752,17,029
"Crawford County, Illinois",17119,1231,15,61,14,75,457,17,033
"Putnam County, Illinois",5532,40,0,46,0,36,67,17,155
"De Witt County, Illinois",15305,85,7,4,12,207,312,17,039
"Lee County, Illinois",31133,1881,92,193,31,357,702,17,103
"Macoupin County, Illinois",43970,434,95,222,0,139,603,17,117
"Richland County, Illinois",15178,125,71,80,0,92,220,17,159
"Washington County, Illinois",13594,121,18,41,7,90,187,17,189
"Washington County, Oregon",447201,11897,3446,62545,2514,29894,31984,41,067
"Clatsop County, Oregon",35929,314,175,387,128,377,1792,41,007
"Cameron County, Pennsylvania",4449,4,2,39,0,9,108,42,023
"Bucks County, Pennsylvania",548891,25325,1065,30282,107,8339,12797,42,017
"Lehigh County, Pennsylvania",289545,26932,1030,12220,178,22460,12687,42,077
"Clarion County, Pennsylvania",37325,527,53,231,21,24,534,42,031
"Greene County, Pennsylvania",34669,1152,11,132,7,104,795,42,059
"Luzerne County, Pennsylvania",278303,16212,626,3968,176,11920,6458,42,079
"Columbia County, Pennsylvania",62515,1177,78,735,20,460,730,42,037
"Jefferson County, Pennsylvania",42903,231,44,121,19,67,461,42,065
"Perry County, Pennsylvania",44605,438,107,162,11,186,544,42,099
"Sullivan County, Pennsylvania",5866,150,7,5,2,65,40,42,113
"Kent County, Rhode Island",149642,3157,525,4474,16,2304,3751,44,003
"Washington County, Rhode Island",117049,1736,928,2431,98,1344,2474,44,009
"Newberry County, South Carolina",24134,11878,132,93,0,1619,338,45,071
"Clarendon County, South Carolina",16729,16124,30,201,9,414,450,45,027
"Sumter County, South Carolina",50412,49908,304,1467,67,1209,3390,45,085
"Barnwell County, South Carolina",10863,9785,45,36,11,421,185,45,011
"Darlington County, South Carolina",37941,27547,162,247,17,21,1092,45,031
"York County, South Carolina",197372,50998,2015,5673,94,4280,5440,45,091
"Cherokee County, South Carolina",42974,11421,113,332,25,645,1385,45,021
"Jasper County, South Carolina",15011,11909,46,120,0,978,593,45,053
"Lee County, South Carolina",5721,11163,2,8,0,255,216,45,061
"Abbeville County, South Carolina",17221,6804,15,79,0,37,471,45,001
"Lyman County, South Dakota",2167,4,1601,24,4,0,48,46,085
"Deuel County, South Dakota",4282,1,8,0,0,6,21,46,039
"Glenn County, California",22685,230,682,825,11,2898,645,06,021
"Butte County, California",184180,3461,2616,10432,603,10754,13771,06,007
"Kings County, California",102062,9642,2431,5817,277,24319,6143,06,031
"Plumas County, California",16855,166,282,222,86,295,754,06,063
"San Luis Obispo County, California",241123,5319,2458,10296,265,12267,10437,06,079
"Fresno County, California",639985,46782,11656,101857,1620,142237,40384,06,019
"Kern County, California",660147,48550,8969,42100,1678,95165,31032,06,029
"Orange County, California",1931263,55591,14424,649042,10152,377563,130009,06,059
"Ventura County, California",678658,15594,6760,62190,1698,44227,38136,06,111
"Calaveras County, California",41173,315,353,684,19,608,2362,06,009
"Sutter County, California",66293,1827,878,15048,548,4730,6785,06,101
"San Mateo County, California",388318,17784,3002,220151,10366,84310,43492,06,081
"Tuolumne County, California",47447,984,965,754,123,1406,2366,06,109
"San Joaquin County, California",419288,51931,4706,115531,4565,65384,81198,06,077
"Amador County, California",33327,904,303,508,57,1500,1830,06,005
"Phillips County, Colorado",4146,9,0,22,0,48,65,08,095
"Archuleta County, Colorado",11136,230,184,126,15,1368,194,08,007
"Denver County, Colorado",537029,65215,6144,26156,1176,43220,26636,08,031
"Kiowa County, Colorado",1433,6,0,0,0,4,46,08,061
"Huerfano County, Colorado",6140,34,120,0,0,103,282,08,055
"Baca County, Colorado",3357,34,57,0,3,29,81,08,009
"Gilpin County, Colorado",5562,20,163,0,0,3,270,08,047
"Kit Carson County, Colorado",6861,186,31,14,19,281,55,08,063
"Gunnison County, Colorado",16083,95,172,57,36,42,317,08,051
"Mineral County, Colorado",720,9,12,4,0,43,36,08,079
"Ouray County, Colorado",4684,15,16,35,3,3,40,08,091
"Sedgwick County, Colorado",2175,19,15,22,0,58,33,08,115
"Weld County, Colorado",275792,3643,2331,4833,361,9209,9176,08,123
"Custer County, Colorado",4441,138,44,0,0,38,115,08,027
"Costilla County, Colorado",3311,14,79,48,0,145,148,08,023
"Douglas County, Colorado",298665,4874,1270,16079,272,4923,9958,08,035
"Lake County, Colorado",6614,9,118,65,3,816,126,08,065
"La Plata County, Colorado",48924,276,3663,406,4,1046,1298,08,067
"Pitkin County, Colorado",16339,174,18,403,0,742,250,08,097
"Rio Grande County, Colorado",10346,106,266,8,14,326,239,08,105
"Bent County, Colorado",5287,238,60,12,0,108,82,08,011
"Crowley County, Colorado",5098,203,80,34,0,65,274,08,025
"San Juan County, Colorado",573,0,6,0,0,0,10,08,111
"Larimer County, Colorado",314957,3387,2661,7546,261,5029,10945,08,069
"Logan County, Colorado",20452,189,176,185,210,251,917,08,075
"San Miguel County, Colorado",7619,1,50,149,0,84,146,08,113
"Teller County, Colorado",23221,208,95,193,7,131,669,08,119
"Elbert County, Colorado",24062,110,251,259,21,255,759,08,039
"Las Animas County, Colorado",12111,125,544,137,0,603,746,08,071
"Lincoln County, Colorado",4971,459,46,23,13,21,52,08,073
