NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Union County, Mississippi",9271,1405,1481,2428,140,28,145,26382.0
"Tippah County, Mississippi",7193,1197,1319,2208,408,28,139,2797.0
"Forrest County, Mississippi",24695,5242,2975,6528,1623,28,35,2161.0
"Lafayette County, Mississippi",23497,5188,1445,2438,698,28,71,9687.0
"Lowndes County, Mississippi",19834,3205,1953,3319,1882,28,87,4284.0
"Wilkinson County, Mississippi",2035,410,243,888,11,28,157,6218.0
"Jefferson Davis County, Mississippi",2906,650,624,1314,163,28,65,1009.0
"Scott County, Mississippi",8280,1737,1272,2302,302,28,123,1524.0
"Yazoo County, Mississippi",6744,1370,1001,3107,130,28,163,3924.0
"Bolivar County, Mississippi",7908,2179,1400,4312,193,28,11,2978.0
"Pike County, Mississippi",11797,1750,1715,3798,337,28,113,4129.0
"Stone County, Mississippi",5358,742,942,1805,694,28,131,4670.0
"Kemper County, Mississippi",3138,592,527,1001,42,28,69,1815.0
"Sunflower County, Mississippi",5786,1264,959,2507,83,28,133,1040.0
"Adams County, Mississippi",6631,2268,1159,3657,259,28,1,3013.0
"DeSoto County, Mississippi",76490,12877,3696,7557,2536,28,33,3989.0
"Delaware County, Pennsylvania",234542,41799,12590,45571,2169,42,45,12174.0
"Somerset County, Pennsylvania",25756,4334,1843,6980,451,42,111,23504.0
"Madison County, Missouri",4031,1045,485,949,147,29,123,3619.0
"Vernon County, Missouri",5830,1431,972,1294,166,29,217,1064.0
"Nodaway County, Missouri",8147,3356,399,1138,295,29,147,2183.0
"Chariton County, Missouri",2393,582,243,355,67,29,41,1671.0
"Wayne County, Missouri",2933,686,683,1421,183,29,223,478.0
"Scott County, Missouri",12008,2171,2063,3561,470,29,201,1652.0
"Barton County, Missouri",3518,1149,430,738,61,29,11,3995.0
"Cedar County, Missouri",3358,819,815,1082,135,29,39,1148.0
"Gasconade County, Missouri",5641,897,539,641,56,29,73,1796.0
"Macon County, Missouri",5143,960,502,833,158,29,121,927.0
"Oregon County, Missouri",2057,874,477,1076,100,29,149,1216.0
"Ste. Genevieve County, Missouri",7337,1412,676,862,136,29,186,1485.0
"Douglas County, Missouri",3044,717,699,1072,173,29,67,816.0
"Henry County, Missouri",6236,1270,948,1627,587,29,83,1847.0
"Lawrence County, Missouri",12176,2259,1091,2351,464,29,109,2052.0
"Pulaski County, Missouri",9173,1960,1730,2649,8312,29,169,4217.0
"Texas County, Missouri",5930,1377,1909,2298,840,29,215,3701.0
"Callaway County, Missouri",17874,2414,1478,2170,491,29,27,2952.0
"Cooper County, Missouri",6033,1190,412,860,139,29,53,3130.0
"Gentry County, Missouri",2104,528,210,459,99,29,75,1199.0
"Washington County, Virginia",18437,3756,2377,3799,353,51,191,523.0
"Page County, Virginia",7706,1512,1003,1569,405,51,139,4310.0
"Alexandria city, Virginia",74747,13039,1316,4041,6136,51,510,2523.0
"Hampton city, Virginia",46412,7291,3898,8045,11174,51,650,14213.0
"Arlington County, Virginia",131198,29861,1868,3046,4791,51,13,9362.0
"Buchanan County, Virginia",5652,994,2048,2665,144,51,27,11823.0
"Stafford County, Virginia",59224,7758,1475,3523,16177,51,179,2347.0
"Richmond city, Virginia",86736,19965,7086,20249,2024,51,760,8339.0
"Essex County, Virginia",3507,930,258,947,61,51,57,23753.0
"Tazewell County, Virginia",13006,2154,2746,3646,363,51,185,897.0
"Manassas Park city, Virginia",6565,1052,254,881,456,51,685,3433.0
"Sussex County, Virginia",3242,705,284,626,168,51,183,2498.0
"Manassas city, Virginia",17037,2709,443,1187,908,51,683,818.0
"Salem city, Virginia",10455,1795,576,959,303,51,775,4904.0
